transaction_id,datetime,date,time,hour,day_of_week,month,customer_id,customer_name,account_number,card_last4,card_type,bank,transaction_type,merchant,amount_naira,balance_before,balance_after,atm_location,home_state,customer_profile,typical_max_amount,daily_limit,daily_total_so_far,transaction_status,risk_score,is_fraud,fraud_type,fraud_reason
TXN0002088,2026-01-01 04:55:00,2026-01-01,04:55:00,4,Thursday,January,CUST00070,Gbenga Adeola,6851604817,7038,Verve,GTBank,POS Purchase,Dominos,77755.76,902510.95,824755.19,ATM_KD_001 - Kaduna Centre,Kaduna,high,200000,500000,77755.76,Successful,16,NO,,
TXN0002028,2026-01-01 05:45:00,2026-01-01,05:45:00,5,Thursday,January,CUST00069,Taiwo Suleiman,3285884247,5835,Mastercard Debit,First Bank,ATM Withdrawal,,821365.45,2668929.83,1847564.38,ATM_BC_001 - Oba Market,Benin City,premium,1000000,2000000,821365.45,Successful,33,NO,,
TXN0004926,2026-01-01 05:56:00,2026-01-01,05:56:00,5,Thursday,January,CUST00158,Tunde Danjuma,5461567933,5914,Visa Debit,Stanbic IBTC,POS Purchase,Bolt,163764.58,716338.26,552573.68,ATM_JS_001 - Jos Terminus,Jos,high,200000,500000,163764.58,Successful,18,NO,,
TXN0004817,2026-01-01 06:35:00,2026-01-01,06:35:00,6,Thursday,January,CUST00155,Kemi Oluwaseun,2522872808,1554,Visa Credit,Zenith Bank,Online Transfer,,153798.35,812736.21,658937.86,ATM_LG_002 - Victoria Island,Lagos,high,200000,500000,153798.35,Successful,13,NO,,
TXN0004818,2026-01-01 06:46:00,2026-01-01,06:46:00,6,Thursday,January,CUST00155,Kemi Oluwaseun,2522872808,1554,Visa Credit,Zenith Bank,ATM Withdrawal,,47224.58,1699930.63,1652706.05,ATM_LG_004 - Surulere,Lagos,high,200000,500000,201022.93,Successful,14,NO,,
TXN0005695,2026-01-01 06:58:00,2026-01-01,06:58:00,6,Thursday,January,CUST00182,Zainab Lawal,8191485807,9951,Mastercard Debit,UBA,Online Transfer,,49979.4,74065.48,24086.08,ATM_AB_002 - Garki Area 11,Abuja,medium,50000,150000,49979.4,Successful,12,NO,,
TXN0004363,2026-01-01 07:40:00,2026-01-01,07:40:00,7,Thursday,January,CUST00145,Bola Adeyemi,0478686337,6671,Visa Debit,Access Bank,Online Transfer,,470647.83,9981907.04,9511259.21,ATM_PH_001 - GRA Phase 2,Port Harcourt,premium,1000000,2000000,470647.83,Successful,14,NO,,
TXN0001398,2026-01-01 07:44:00,2026-01-01,07:44:00,7,Thursday,January,CUST00049,Samuel Ekwueme,7190229413,2940,Mastercard Credit,First Bank,ATM Balance Enquiry,,24163.8,603012.81,603012.81,ATM_KD_001 - Kaduna Centre,Kaduna,medium,50000,150000,0,Successful,8,NO,,
TXN0000443,2026-01-01 07:53:00,2026-01-01,07:53:00,7,Thursday,January,CUST00019,Kemi Musa,4624751079,2638,Mastercard Debit,Fidelity Bank,ATM Balance Enquiry,,131480.46,69564.54,69564.54,ATM_PH_001 - GRA Phase 2,Port Harcourt,medium,50000,150000,0,Successful,83,YES,SIM Swap,"Velocity spike: ₦131,480 high-value transaction"
TXN0004278,2026-01-01 08:23:00,2026-01-01,08:23:00,8,Thursday,January,CUST00142,Samuel Okonkwo,1870728679,1945,Visa Debit,Stanbic IBTC,ATM Balance Enquiry,,196239.76,1265350.81,1265350.81,ATM_JS_001 - Jos Terminus,Jos,high,200000,500000,0,Successful,23,NO,,
TXN0000858,2026-01-01 09:17:00,2026-01-01,09:17:00,9,Thursday,January,CUST00032,Jide Oluwaseun,6328708317,3184,Mastercard Credit,Fidelity Bank,POS Purchase,KFC,649475.09,8746313.92,8096838.83,ATM_OW_001 - Owerri Centre,Owerri,premium,1000000,2000000,649475.09,Successful,35,NO,,
TXN0004087,2026-01-01 09:21:00,2026-01-01,09:21:00,9,Thursday,January,CUST00135,Rotimi Salami,4019380262,1595,Verve,Access Bank,ATM Withdrawal,,629103.73,14155632.27,13526528.54,ATM_KN_002 - Sabon Gari,Kano,premium,1000000,2000000,629103.73,Successful,15,NO,,
TXN0003012,2026-01-01 09:51:00,2026-01-01,09:51:00,9,Thursday,January,CUST00100,Yemi Adeyemi,2407581814,2374,Mastercard Debit,Stanbic IBTC,Online Transfer,,149377.87,636328.82,486950.95,ATM_BC_001 - Oba Market,Benin City,high,200000,500000,149377.87,Successful,3,NO,,
TXN0001534,2026-01-01 09:57:00,2026-01-01,09:57:00,9,Thursday,January,CUST00053,Nneka Nwosu,9471746488,9090,Visa Credit,Fidelity Bank,POS Purchase,Shoprite,1238.51,5159.12,3920.61,ATM_CL_001 - Calabar Centre,Calabar,low,10000,50000,1238.51,Successful,9,NO,,
TXN0004604,2026-01-01 10:07:00,2026-01-01,10:07:00,10,Thursday,January,CUST00151,Emeka Obi,9013983735,5967,Visa Debit,Polaris Bank,ATM Withdrawal,,142667.86,11086843.0,10944175.14,ATM_PH_002 - Trans-Amadi,Port Harcourt,premium,1000000,2000000,142667.86,Successful,16,NO,,
TXN0006070,2026-01-01 10:39:00,2026-01-01,10:39:00,10,Thursday,January,CUST00194,Amaka Usman,7613791805,6185,Mastercard Credit,Zenith Bank,Online Purchase,Total Petrol,22430.64,607829.41,585398.77,ATM_CL_001 - Calabar Centre,Calabar,medium,50000,150000,94623.12,Successful,20,NO,,
TXN0004088,2026-01-01 10:44:00,2026-01-01,10:44:00,10,Thursday,January,CUST00135,Rotimi Salami,4019380262,1595,Verve,Access Bank,Mobile Transfer,,788239.3,1897884.51,1109645.21,ATM_KN_001 - Kano City Centre,Kano,premium,1000000,2000000,1417343.03,Successful,34,NO,,
TXN0003652,2026-01-01 10:47:00,2026-01-01,10:47:00,10,Thursday,January,CUST00123,Uche Musa,8733950047,8710,Visa Credit,Zenith Bank,ATM Withdrawal,,64389.08,1781575.41,1717186.33,ATM_LG_004 - Surulere,Lagos,high,200000,500000,64389.08,Successful,20,NO,,
TXN0006250,2026-01-01 10:56:00,2026-01-01,10:56:00,10,Thursday,January,CUST00199,Musa Adeleke,5648149177,9368,Mastercard Debit,Fidelity Bank,Mobile Transfer,,144459.76,742645.34,598185.58,ATM_BC_001 - Oba Market,Benin City,high,200000,500000,144459.76,Successful,33,NO,,
TXN0005931,2026-01-01 11:55:00,2026-01-01,11:55:00,11,Thursday,January,CUST00189,Ngozi Okafor,5415206436,2494,Mastercard Debit,Wema Bank,ATM Mini Statement,,19904.88,212050.15,212050.15,ATM_PH_002 - Trans-Amadi,Port Harcourt,medium,50000,150000,0,Successful,29,NO,,
TXN0001326,2026-01-01 12:07:00,2026-01-01,12:07:00,12,Thursday,January,CUST00047,Amaka Adeyemi,9413435240,9751,Mastercard Credit,UBA,ATM Withdrawal,,589473.68,11702277.92,11112804.24,ATM_LG_005 - Yaba,Lagos,premium,1000000,2000000,589473.68,Successful,35,NO,,
TXN0002029,2026-01-01 12:25:00,2026-01-01,12:25:00,12,Thursday,January,CUST00069,Taiwo Suleiman,3285884247,5835,Mastercard Debit,First Bank,ATM Balance Enquiry,,892036.29,9531434.4,9531434.4,ATM_BC_001 - Oba Market,Benin City,premium,1000000,2000000,821365.45,Successful,27,NO,,
TXN0002892,2026-01-01 12:25:00,2026-01-01,12:25:00,12,Thursday,January,CUST00097,Adebayo Oluwaseun,7332214188,9626,Mastercard Credit,Zenith Bank,Mobile Transfer,,78268.94,1324358.33,1246089.39,ATM_LG_002 - Victoria Island [FOREIGN - Home: Enugu],Enugu,high,200000,500000,78268.94,Successful,94,YES,Card Cloning,Card from Enugu used in Lagos
TXN0001443,2026-01-01 12:29:00,2026-01-01,12:29:00,12,Thursday,January,CUST00050,Sunday Nwofor,8677496499,1986,Mastercard Debit,First Bank,POS Purchase,Total Petrol,412197.38,10658677.1,10246479.72,ATM_AB_003 - Maitama,Abuja,premium,1000000,2000000,412197.38,Successful,22,NO,,
TXN0001327,2026-01-01 12:34:00,2026-01-01,12:34:00,12,Thursday,January,CUST00047,Amaka Adeyemi,9413435240,9751,Mastercard Credit,UBA,ATM Withdrawal,,458463.02,14319760.14,13861297.12,ATM_LG_003 - Lekki Phase 1,Lagos,premium,1000000,2000000,1047936.7,Successful,2,NO,,
TXN0004202,2026-01-01 12:34:00,2026-01-01,12:34:00,12,Thursday,January,CUST00139,Musa Okeke,3017426841,5833,Mastercard Debit,Polaris Bank,ATM Withdrawal,,5064.0,132867.55,127803.55,ATM_PH_001 - GRA Phase 2,Port Harcourt,low,10000,50000,5064.0,Successful,2,NO,,
TXN0001207,2026-01-01 13:03:00,2026-01-01,13:03:00,13,Thursday,January,CUST00043,Chidi Salami,4737996507,6325,Verve,Fidelity Bank,ATM Withdrawal,,33557.94,172967.66,139409.72,ATM_PH_002 - Trans-Amadi,Port Harcourt,medium,50000,150000,33557.94,Successful,28,NO,,
TXN0003712,2026-01-01 13:10:00,2026-01-01,13:10:00,13,Thursday,January,CUST00124,Samuel Chukwu,4565060983,6939,Visa Credit,Sterling Bank,ATM Withdrawal,,38505.58,93505.95,55000.37,ATM_AB_001 - Wuse Zone 5,Abuja,medium,50000,150000,38505.58,Successful,25,NO,,
TXN0002761,2026-01-01 13:11:00,2026-01-01,13:11:00,13,Thursday,January,CUST00092,Aisha Okonkwo,7700541199,9307,Visa Debit,Polaris Bank,ATM Withdrawal,,6991.95,487283.06,480291.11,ATM_CL_001 - Calabar Centre,Calabar,medium,50000,150000,6991.95,Successful,27,NO,,
TXN0006251,2026-01-01 13:11:00,2026-01-01,13:11:00,13,Thursday,January,CUST00199,Musa Adeleke,5648149177,9368,Mastercard Debit,Fidelity Bank,POS Purchase,Chicken Republic,92876.14,2180682.2,2087806.06,ATM_BC_001 - Oba Market,Benin City,high,200000,500000,237335.9,Successful,10,NO,,
TXN0003870,2026-01-01 13:24:00,2026-01-01,13:24:00,13,Thursday,January,CUST00128,Daniel Danjuma,0974993097,3793,Visa Credit,Zenith Bank,POS Purchase,Netflix,49630.48,717125.25,667494.77,ATM_MD_001 - Maiduguri Centre,Maiduguri,medium,50000,150000,49630.48,Successful,15,NO,,
TXN0006252,2026-01-01 13:33:00,2026-01-01,13:33:00,13,Thursday,January,CUST00199,Musa Adeleke,5648149177,9368,Mastercard Debit,Fidelity Bank,ATM Balance Enquiry,,30431.21,239224.36,239224.36,ATM_BC_001 - Oba Market,Benin City,high,200000,500000,237335.9,Successful,12,NO,,
TXN0005696,2026-01-01 13:40:00,2026-01-01,13:40:00,13,Thursday,January,CUST00182,Zainab Lawal,8191485807,9951,Mastercard Debit,UBA,POS Purchase,Bolt,15467.84,720384.4,704916.56,ATM_AB_002 - Garki Area 11,Abuja,medium,50000,150000,65447.24,Successful,2,NO,,
TXN0003523,2026-01-01 14:07:00,2026-01-01,14:07:00,14,Thursday,January,CUST00119,Blessing Chukwu,0109439690,9159,Visa Credit,First Bank,POS Purchase,Uber,145657.19,12798699.06,12653041.87,ATM_JS_001 - Jos Terminus,Jos,premium,1000000,2000000,145657.19,Successful,11,NO,,
TXN0004338,2026-01-01 14:09:00,2026-01-01,14:09:00,14,Thursday,January,CUST00144,Chidi Musa,6567661825,2943,Mastercard Debit,Access Bank,POS Purchase,Jumia,43165.77,476401.24,433235.47,ATM_KD_001 - Kaduna Centre,Kaduna,medium,50000,150000,43165.77,Successful,17,NO,,
TXN0000474,2026-01-01 14:53:00,2026-01-01,14:53:00,14,Thursday,January,CUST00020,Samuel Chukwu,1354278498,1128,Mastercard Debit,UBA,ATM Withdrawal,,5786.55,143825.49,138038.94,ATM_JS_001 - Jos Terminus,Jos,low,10000,50000,5786.55,Successful,33,NO,,
TXN0004697,2026-01-01 15:03:00,2026-01-01,15:03:00,15,Thursday,January,CUST00153,Chisom Adeyemi,1753556093,3390,Mastercard Credit,Stanbic IBTC,POS Purchase,DSTV,111538.16,1682665.25,1571127.09,ATM_OW_001 - Owerri Centre,Owerri,premium,1000000,2000000,111538.16,Successful,6,NO,,
TXN0004033,2026-01-01 15:19:00,2026-01-01,15:19:00,15,Thursday,January,CUST00134,Funke Danjuma,1657120826,8793,Verve,Fidelity Bank,ATM Withdrawal,,19478.67,2872220.17,2852741.5,ATM_PH_001 - GRA Phase 2,Port Harcourt,high,200000,500000,19478.67,Successful,34,NO,,
TXN0003653,2026-01-01 15:21:00,2026-01-01,15:21:00,15,Thursday,January,CUST00123,Uche Musa,8733950047,8710,Visa Credit,Zenith Bank,ATM Withdrawal,,82005.27,349372.53,267367.26,ATM_LG_001 - Ikeja Branch,Lagos,high,200000,500000,146394.35,Successful,8,NO,,
TXN0002687,2026-01-01 15:32:00,2026-01-01,15:32:00,15,Thursday,January,CUST00090,Chidi Ekwueme,5231243292,2234,Mastercard Credit,Wema Bank,ATM Withdrawal,,43726.57,289391.37,245664.8,ATM_JS_001 - Jos Terminus,Jos,medium,50000,150000,43726.57,Successful,2,NO,,
TXN0003951,2026-01-01 15:38:00,2026-01-01,15:38:00,15,Thursday,January,CUST00130,Blessing Ibrahim,2838578652,8531,Verve,Wema Bank,ATM Withdrawal,,26333.21,611215.72,584882.51,ATM_OW_001 - Owerri Centre,Owerri,medium,50000,150000,26333.21,Successful,26,NO,,
TXN0000752,2026-01-01 15:39:00,2026-01-01,15:39:00,15,Thursday,January,CUST00028,Rotimi Abubakar,6159514846,6344,Mastercard Debit,Stanbic IBTC,ATM Withdrawal,,23939.95,492704.02,468764.07,ATM_IB_001 - Ring Road,Ibadan,medium,50000,150000,23939.95,Successful,3,NO,,
TXN0005293,2026-01-01 15:49:00,2026-01-01,15:49:00,15,Thursday,January,CUST00170,Aisha Nwosu,7416724342,7932,Visa Credit,Wema Bank,ATM Withdrawal,,972468.31,2582746.92,1610278.61,ATM_BC_001 - Oba Market,Benin City,premium,1000000,2000000,972468.31,Successful,32,NO,,
TXN0006109,2026-01-01 16:42:00,2026-01-01,16:42:00,16,Thursday,January,CUST00195,Grace Chukwu,7109104300,7520,Visa Credit,Stanbic IBTC,ATM Withdrawal,,32614.66,567825.32,535210.66,ATM_JS_001 - Jos Terminus,Jos,medium,50000,150000,32614.66,Successful,16,NO,,
TXN0004819,2026-01-01 18:17:00,2026-01-01,18:17:00,18,Thursday,January,CUST00155,Kemi Oluwaseun,2522872808,1554,Visa Credit,Zenith Bank,ATM Balance Enquiry,,109180.74,2882816.79,2882816.79,ATM_LG_002 - Victoria Island,Lagos,high,200000,500000,201022.93,Successful,8,NO,,
TXN0003210,2026-01-01 18:21:00,2026-01-01,18:21:00,18,Thursday,January,CUST00108,Chidi Salami,5054156676,6554,Mastercard Credit,UBA,Mobile Transfer,,23197.75,411351.37,388153.62,ATM_MD_001 - Maiduguri Centre,Maiduguri,medium,50000,150000,23197.75,Successful,24,NO,,
TXN0003069,2026-01-01 18:41:00,2026-01-01,18:41:00,18,Thursday,January,CUST00102,Tunde Okafor,5220472779,1086,Mastercard Debit,Sterling Bank,POS Purchase,Total Petrol,972.65,23769.11,22796.46,ATM_IB_002 - Challenge,Ibadan,low,10000,50000,972.65,Successful,33,NO,,
TXN0004520,2026-01-01 19:09:00,2026-01-01,19:09:00,19,Thursday,January,CUST00148,Efua Danjuma,6440892687,1768,Mastercard Credit,Fidelity Bank,ATM Withdrawal,,41514.89,706419.16,664904.27,ATM_JS_001 - Jos Terminus,Jos,medium,50000,150000,41514.89,Successful,16,NO,,
TXN0005294,2026-01-01 19:09:00,2026-01-01,19:09:00,19,Thursday,January,CUST00170,Aisha Nwosu,7416724342,7932,Visa Credit,Wema Bank,ATM Withdrawal,,181277.21,3607038.91,3425761.7,ATM_BC_001 - Oba Market,Benin City,premium,1000000,2000000,1153745.52,Successful,34,NO,,
TXN0001503,2026-01-01 19:11:00,2026-01-01,19:11:00,19,Thursday,January,CUST00051,Peace Salami,4123281206,8381,Verve,UBA,ATM Balance Enquiry,,1793.56,7132.35,7132.35,ATM_BC_001 - Oba Market [FOREIGN - Home: Ibadan],Ibadan,low,10000,50000,0,Successful,92,YES,Card Cloning,Card from Ibadan used in Benin City
TXN0004089,2026-01-01 20:14:00,2026-01-01,20:14:00,20,Thursday,January,CUST00135,Rotimi Salami,4019380262,1595,Verve,Access Bank,POS Purchase,Apple Store,380953.38,11072256.45,10691303.07,ATM_KN_001 - Kano City Centre,Kano,premium,1000000,2000000,1798296.41,Successful,34,NO,,
TXN0005584,2026-01-01 20:30:00,2026-01-01,20:30:00,20,Thursday,January,CUST00179,Ahmed Chukwu,6929662782,3733,Visa Credit,Wema Bank,POS Purchase,Chicken Republic,6592.88,59183.01,52590.13,ATM_KN_002 - Sabon Gari,Kano,low,10000,50000,6592.88,Successful,12,NO,,
TXN0004090,2026-01-01 20:33:00,2026-01-01,20:33:00,20,Thursday,January,CUST00135,Rotimi Salami,4019380262,1595,Verve,Access Bank,ATM Withdrawal,,968169.85,6507696.61,5539526.76,ATM_KN_002 - Sabon Gari,Kano,premium,1000000,2000000,2766466.26,Reversed,88,YES,Limit Breach,"Daily total ₦2,766,466 exceeds limit ₦2,000,000"
TXN0000070,2026-01-01 20:46:00,2026-01-01,20:46:00,20,Thursday,January,CUST00006,Gbenga Eze,6413953767,3340,Mastercard Credit,UBA,Mobile Transfer,,14678.0,286155.63,271477.63,ATM_PH_001 - GRA Phase 2,Port Harcourt,medium,50000,150000,21001.97,Successful,19,NO,,
TXN0000563,2026-01-01 20:52:00,2026-01-01,20:52:00,20,Thursday,January,CUST00024,Chibundo Oluwaseun,8692322602,6442,Verve,Zenith Bank,ATM Mini Statement,,176484.46,973910.08,973910.08,ATM_MD_001 - Maiduguri Centre,Maiduguri,high,200000,500000,0,Successful,6,NO,,
TXN0001802,2026-01-01 21:27:00,2026-01-01,21:27:00,21,Thursday,January,CUST00062,Sunday Abubakar,1870262174,6546,Verve,Sterling Bank,Online Purchase,Shoprite,25840.22,143287.85,117447.63,ATM_KD_001 - Kaduna Centre,Kaduna,medium,50000,150000,25840.22,Successful,13,NO,,
TXN0000564,2026-01-01 21:37:00,2026-01-01,21:37:00,21,Thursday,January,CUST00024,Chibundo Oluwaseun,8692322602,6442,Verve,Zenith Bank,Online Transfer,,114261.87,1498288.78,1384026.91,ATM_MD_001 - Maiduguri Centre,Maiduguri,high,200000,500000,114261.87,Successful,8,NO,,
TXN0004556,2026-01-01 21:43:00,2026-01-01,21:43:00,21,Thursday,January,CUST00149,Bola Okonkwo,6624628733,5927,Visa Credit,Sterling Bank,ATM Withdrawal,,17844.28,162626.19,144781.91,ATM_LG_005 - Yaba,Lagos,medium,50000,150000,17844.28,Successful,12,NO,,
TXN0004423,2026-01-01 21:49:00,2026-01-01,21:49:00,21,Thursday,January,CUST00146,Ifeoma Nwofor,6903311907,1797,Mastercard Debit,Sterling Bank,ATM Withdrawal,,22161.38,178137.06,155975.68,ATM_LG_002 - Victoria Island,Lagos,medium,50000,150000,22161.38,Successful,18,NO,,
TXN0003306,2026-01-01 22:06:00,2026-01-01,22:06:00,22,Thursday,January,CUST00111,Peace Eze,2970213556,1530,Verve,Fidelity Bank,Online Transfer,,37173.25,154572.88,117399.63,ATM_JS_001 - Jos Terminus,Jos,medium,50000,150000,37173.25,Successful,8,NO,,
TXN0005427,2026-01-01 22:08:00,2026-01-01,22:08:00,22,Thursday,January,CUST00173,Tunde Suleiman,6798250714,7815,Verve,Fidelity Bank,ATM Mini Statement,,1644.07,129786.76,129786.76,ATM_MD_001 - Maiduguri Centre,Maiduguri,low,10000,50000,0,Successful,13,NO,,
TXN0002952,2026-01-01 23:33:00,2026-01-01,23:33:00,23,Thursday,January,CUST00099,Grace Babatunde,8347359774,7256,Mastercard Debit,Wema Bank,POS Purchase,KFC,673031.52,11296432.6,10623401.08,ATM_KD_001 - Kaduna Centre,Kaduna,premium,1000000,2000000,673031.52,Successful,29,NO,,
TXN0003124,2026-01-01 23:35:00,2026-01-01,23:35:00,23,Thursday,January,CUST00105,Aisha Ogundipe,5188888067,1713,Verve,GTBank,Online Transfer,,40033.69,326707.74,286674.05,ATM_IB_002 - Challenge,Ibadan,medium,50000,150000,40033.69,Successful,33,NO,,
TXN0005832,2026-01-02 00:33:00,2026-01-02,00:33:00,0,Friday,January,CUST00186,Tunde Nwofor,7116845775,1040,Verve,GTBank,POS Purchase,Total Petrol,10539.11,364377.77,353838.66,ATM_BC_001 - Oba Market,Benin City,medium,50000,150000,10539.11,Successful,24,NO,,
TXN0001889,2026-01-02 00:36:00,2026-01-02,00:36:00,0,Friday,January,CUST00064,Ifeoma Babatunde,2400504556,3385,Mastercard Debit,Zenith Bank,ATM Withdrawal,,16767.32,183792.61,167025.29,ATM_KD_001 - Kaduna Centre,Kaduna,medium,50000,150000,16767.32,Successful,11,NO,,
TXN0002539,2026-01-02 00:40:00,2026-01-02,00:40:00,0,Friday,January,CUST00087,Chisom Okonkwo,2683885160,8147,Mastercard Credit,Stanbic IBTC,ATM Withdrawal,,144012.6,2453131.89,2309119.29,ATM_AB_002 - Garki Area 11,Abuja,high,200000,500000,144012.6,Successful,24,NO,,
TXN0003307,2026-01-02 00:44:00,2026-01-02,00:44:00,0,Friday,January,CUST00111,Peace Eze,2970213556,1530,Verve,Fidelity Bank,ATM Withdrawal,,408336.31,217341.5,0,ATM_JS_001 - Jos Terminus,Jos,medium,50000,150000,408336.31,Declined,87,YES,Card Cloning,"Amount ₦408,336 is 8.2x above customer max of ₦50,000"
TXN0004927,2026-01-02 01:09:00,2026-01-02,01:09:00,1,Friday,January,CUST00158,Tunde Danjuma,5461567933,5914,Visa Debit,Stanbic IBTC,ATM Withdrawal,,40697.54,983620.23,942922.69,ATM_JS_001 - Jos Terminus,Jos,high,200000,500000,40697.54,Successful,6,NO,,
TXN0001844,2026-01-02 01:18:00,2026-01-02,01:18:00,1,Friday,January,CUST00063,Tobi Suleiman,6578091343,2480,Visa Debit,Polaris Bank,ATM Withdrawal,,7430.36,339092.65,331662.29,ATM_JS_001 - Jos Terminus,Jos,medium,50000,150000,7430.36,Successful,29,NO,,
TXN0002266,2026-01-02 01:29:00,2026-01-02,01:29:00,1,Friday,January,CUST00076,Daniel Suleiman,0539502402,7897,Visa Credit,Fidelity Bank,ATM Withdrawal,,4940.69,44097.96,39157.27,ATM_MD_001 - Maiduguri Centre,Maiduguri,low,10000,50000,4940.69,Successful,21,NO,,
TXN0002430,2026-01-02 01:36:00,2026-01-02,01:36:00,1,Friday,January,CUST00081,Rukayat Babatunde,5165604945,2697,Visa Credit,First Bank,Mobile Transfer,,3834.14,32792.33,28958.19,ATM_AB_002 - Garki Area 11 [FOREIGN - Home: Port Harcourt],Port Harcourt,low,10000,50000,3834.14,Declined,94,YES,Card Cloning,Card from Port Harcourt used in Abuja
TXN0002540,2026-01-02 01:46:00,2026-01-02,01:46:00,1,Friday,January,CUST00087,Chisom Okonkwo,2683885160,8147,Mastercard Credit,Stanbic IBTC,ATM Withdrawal,,118471.82,1803698.03,1685226.21,ATM_AB_002 - Garki Area 11,Abuja,high,200000,500000,262484.42,Successful,26,NO,,
TXN0004460,2026-01-02 03:07:00,2026-01-02,03:07:00,3,Friday,January,CUST00147,Ifeoma Chukwu,3028439599,6253,Mastercard Credit,First Bank,Online Transfer,,631946.42,6341254.77,5709308.35,ATM_KN_002 - Sabon Gari,Kano,premium,1000000,2000000,631946.42,Successful,23,NO,,
TXN0001135,2026-01-02 03:33:00,2026-01-02,03:33:00,3,Friday,January,CUST00041,Taiwo Okafor,4919058651,9289,Visa Debit,Stanbic IBTC,ATM Withdrawal,,73649.71,2042085.41,1968435.7,ATM_KD_001 - Kaduna Centre,Kaduna,high,200000,500000,73649.71,Successful,28,NO,,
TXN0002201,2026-01-02 03:59:00,2026-01-02,03:59:00,3,Friday,January,CUST00074,Ifeoma Eze,6431713900,6464,Mastercard Credit,First Bank,ATM Mini Statement,,4782.63,27441.32,27441.32,ATM_CL_001 - Calabar Centre,Calabar,low,10000,50000,0,Successful,3,NO,,
TXN0003198,2026-01-02 04:24:00,2026-01-02,04:24:00,4,Friday,January,CUST00107,Blessing Salami,7043030548,7524,Mastercard Debit,UBA,ATM Withdrawal,,4689.71,143295.1,138605.39,ATM_IB_002 - Challenge,Ibadan,low,10000,50000,4689.71,Successful,17,NO,,
